idx	slug	name
106	temaki-society-34.0499_-118.2493	Temaki Society
107	kyungbokkung-33.8493_-117.9985	KyungBokKung
108	dha-rae-ok-34.0505_-118.3089	Dha Rae Ok
109	good-mong-kok-bakery-37.7954_-122.4084	Good Mong Kok Bakery
110	sotto-mare-37.7998_-122.4083	Sotto Mare
111	pop-mart-37.7866_-122.4079	Pop Mart
112	a-bathing-ape-37.7879_-122.4064	A Bathing Ape
113	la-perla-cocina-mexicana-3-32.7232_-117.231	La Perla Cocina Mexicana #3
114	space-city-vintage-34.0498_-118.2398	Space City Vintage
115	bestia-34.0337_-118.2293	Bestia
116	shin-sen-gumi-34.0479_-118.2399	Shin-Sen-Gumi
117	woody-34.0455_-118.2365	Woody
118	dover-street-market-34.0378_-118.2314	Dover Street Market
119	still-life-studios-34.0388_-118.2326	Still Life Studios
120	cafe-little-tokyo-by-fr2-34.0498_-118.2398	Cafe Little Tokyo by FR2
121	okayama-kobo-34.0497_-118.2402	Okayama Kobo
122	fugetsu-do-34.0502_-118.2404	Fugetsu-Do
123	little-tokyo-farmers-market-34.0479_-118.2419	Little Tokyo Farmers' Market
124	little-tokyo-galleria-shopping-center-34.0445_-118.2384	Little Tokyo Galleria Shopping Center
125	ten-no-meshi-34.0408_-118.4433	Ten no Meshi
126	liu-s-cafe-34.0636_-118.3084	Liu's Cafe
127	hey-tea-34.0704_-118.4049	Hey Tea
128	go-greek-yogurt-34.0689_-118.4059	Go Greek Yogurt
129	sushi-kyo-34.15_-118.0012	Sushi Kyo
130	kanomwaan-thai-gelato-and-dessert-cafe-34.1021_-118.3055	Kanomwaan Thai Gelato and Dessert Cafe
131	lingyun-milk-fun-34.079_-118.1228	Lingyun Milk Fun
132	the-gourmet-cobbler-factory-34.1466_-118.1295	The Gourmet Cobbler Factory
133	little-akihabara-34.0494_-118.2407	Little Akihabara
134	amboy-34.0613_-118.2396	Amboy
135	miya-miya-34.0335_-118.2422	Miya Miya
136	chinese-bakery-deli-37.692_-122.1476	Chinese Bakery & Deli
137	good-alley-34.0798_-118.0848	Good Alley
138	del-amo-fashion-center-33.8311_-118.3494	Del Amo Fashion Center
139	luv2eat-thai-bistro-34.0977_-118.3359	Luv2eat Thai Bistro
140	bone-kettle-34.1471_-118.1491	Bone Kettle
141	tsuke-artisan-noodle-34.1452_-118.1521	Tsuke Artisan Noodle
142	onigiri-time-34.1461_-118.1298	Onigiri Time
143	bodegon-no-69-34.1472_-118.149	Bodegon No 69
144	kang-kang-food-court-34.0788_-118.1224	Kang Kang Food Court
145	ry-s-poke-shack-34.1457_-118.0949	Ry's Poke Shack
146	stagger-coffee-34.0582_-118.2938	Stagger Coffee
147	mensho-37.9002_-122.0609	MENSHO
148	paper-rice-spring-rolls-bowls-34.1467_-118.1498	Paper Rice - Spring Rolls & Bowls
149	okaeri-japanese-bistro-37.7585_-122.4196	Okaeri Japanese Bistro
150	indigo-cow-34.0772_-118.2589	Indigo Cow
151	proof-bakery-34.117_-118.2616	Proof Bakery
152	motto-tea-cafe-34.1443_-118.1525	Motto Tea Cafe
153	ebisu-life-store-34.0931_-118.1306	Ebisu Life Store
154	alittle-tea-34.0795_-118.1021	ALittle-Tea
155	mian-34.0801_-118.1044	Mian
156	chayan-33.9888_-117.9032	CHAYAN
157	unique-green-34.0793_-118.104	Unique Green
158	bistro-na-s-34.1048_-118.0723	Bistro Na's
159	golden-deli-34.1028_-118.1117	Golden Deli
160	browned-34.08_-118.0991	Browned
161	nuo-mochi-34.064_-118.1346	Nuo Mochi
162	chong-qing-special-noodles-34.103_-118.0917	Chong Qing Special Noodles
163	lao-ma-tou-hot-pot-33.9926_-117.8907	Lao Ma Tou Hot Pot
164	baking-with-ish-34.099_-118.109	Baking With Ish
165	pizzeria-sei-34.0549_-118.3835	Pizzeria Sei
166	honeymee-34.0488_-118.2398	Honeymee
167	shoe-palace-34.0487_-118.2411	Shoe Palace
168	little-tokyo-table-tennis-34.0503_-118.2405	Little Tokyo Table Tennis
169	bait-34.0836_-118.3578	BAIT
170	palace-34.0806_-118.3881	Palace
171	b-patisserie-37.7878_-122.4409	b. Patisserie
172	more-yogurt-33.6972_-117.8283	More Yogurt
173	fleurs-et-sel-34.0322_-118.3589	Fleurs et Sel
174	petersen-automotive-museum-34.0623_-118.361	Petersen Automotive Museum
175	always-yours-bakery-cafe-37.6963_-122.0776	Always Yours Bakery Cafe
176	tadaima-37.7585_-122.4196	Tadaima
177	harucake-34.0633_-118.2972	Harucake
178	lao-xi-noodle-house-34.1293_-118.055	Lao Xi Noodle House
179	626-hospitality-group-34.1301_-118.0253	626 Hospitality Group
180	ipoh-kopitiam-34.0779_-118.1232	Ipoh Kopitiam
181	kyuramen-x-tbaar-34.1076_-118.0316	Kyuramen x TBaar
182	jincook-34.1504_-118.2547	Jincook
183	yi-mei-34.1031_-118.0947	Yi Mei
184	artisanal-goods-by-car-34.1461_-118.1295	Artisanal Goods by CAR
185	kazunori-34.1461_-118.1373	KazuNori
186	kissa-by-motto-34.1433_-118.1526	Kissa by Motto
187	neighbors-friends-cafe-34.1467_-118.1486	Neighbors & Friends Cafe
188	pijja-palace-34.0811_-118.2704	Pijja Palace
189	square-enix-cafe-shop-34.05_-118.2407	Square Enix Cafe & Shop
190	cafe-knotted-arts-district-34.0455_-118.2368	Cafe Knotted Arts District
191	mat-34.0637_-118.3993	Matū
192	unreal-poke-34.1281_-118.0551	Unreal Poke
193	grand-central-market-34.051_-118.2488	Grand Central Market
194	sidecar-doughnuts-coffee-34.0214_-118.4959	Sidecar Doughnuts & Coffee
195	go-greek-yogurt-34.0136_-118.4967	Go Greek Yogurt
196	fusion-dumpling-37.7964_-122.4061	Fusion Dumpling
197	outta-sight-pizza-37.7945_-122.4039	Outta Sight Pizza
198	tony-s-pizza-napoletana-37.8003_-122.409	Tony's Pizza Napoletana
199	r-g-lounge-37.7941_-122.4049	R & G Lounge
200	z-y-restaurant-37.796_-122.406	Z & Y Restaurant
201	rintaro-37.7688_-122.4151	Rintaro
202	asanebo-japanese-gourmet-34.1436_-118.3919	Asanebo Japanese Gourmet
203	marina-del-rey-33.9797_-118.4402	Marina del Rey
204	mandarin-coffee-stand-34.1393_-118.1319	Mandarin Coffee Stand
205	delight-pastry-34.1465_-118.1491	Delight Pastry
206	wa-iro-34.1451_-118.1486	Wa-Iro
207	oakobing-34.1465_-118.1479	Oakobing
208	bodega-34.0335_-118.2422	Bodega
209	kato-34.0341_-118.241	Kato
210	one-piece-cafe-34.0484_-118.2423	One Piece Cafe
211	petitgrain-boulangerie-34.0256_-118.4906	Petitgrain Boulangerie
212	fondry-34.123_-118.2129	Fondry
213	r-publique-34.0641_-118.3437	République
214	house-of-bread-34.0481_-118.4352	House of Bread
215	artelice-patisserie-34.0381_-118.4418	Artelice Patisserie
216	copenhagen-pastry-34.0093_-118.412	Copenhagen Pastry
217	des-croissants-paris-34.0309_-118.3803	Des Croissants Paris
218	hi-bake-34.0684_-118.399	Hi Bake
219	hakone-estate-and-gardens-37.2526_-122.0419	Hakone Estate and Gardens
220	hama-sushi-34.0486_-118.2404	Hama Sushi
221	88pc-cafe-34.0507_-118.3089	88Pc Cafe
222	jam-jam-tea-lab-34.1455_-118.1509	Jam Jam Tea Lab
223	yala-coffee-34.0911_-118.2793	Yala Coffee
224	molly-tea-arcadia-34.1268_-118.0543	Molly Tea Arcadia
225	gentle-monster-34.0432_-118.2549	Gentle Monster
226	about-time-34.062_-118.2939	About Time
227	elite-gaming-club-34.0637_-118.3096	Elite Gaming Club
228	damo-34.0573_-118.3071	Damo
