name	category	price	lat	lng	address
Fu Hui Hua	Chinese Cuisine		37.752718	-122.40845	2809 24th St, San Francisco, CA  94110, United States
Itani Sushi	Sushi Restaurant		37.8798324	-122.269026	1511 Shattuck Ave, Berkeley, CA  94709, United States
Kamado Sushi	Sushi Restaurant	$$	37.8817891	-122.269814	1400 Shattuck Ave, Unit 1, Berkeley, CA 94709, United States
Comal	Mexican Cuisine	$$	37.8715547	-122.2686911	2020 Shattuck Ave, Berkeley, CA  94704, United States
Sizzling Lunch	Japanese Cuisine		37.8725094	-122.2682636	1987 Shattuck Ave, Berkeley, CA  94704, United States
Tanzie's	Thai Cuisine	$$	37.862261	-122.2814784	1453 Dwight Way, Berkeley, CA  94702, United States
Rice Dynasty	Cantonese Cuisine		37.866384	-122.258897	2428 Telegraph Ave, Berkeley, CA  94704, United States
Little Gem Belgian Waffles	Waffle Restaurant	$	37.8656153	-122.2587182	2468-A Telegraph Ave, Berkeley, CA 94704, United States
Binge Coffee House	Coffee Shop		37.8677084	-122.2575979	2528 Durant Ave, Berkeley, CA  94704, United States
Hui Lau Shan	Dessert Shop	$$	37.8680992	-122.2663254	2282 Fulton St, Berkeley, CA  94704, United States
Butterfish Sushi	Sushi Restaurant		37.8685214	-122.2961521	915 University Ave, Berkeley, CA  94710, United States
Fentons Creamery	Ice Cream Shop		37.8279628	-122.2500781	4226 Piedmont Ave, Oakland, CA  94611, United States
Heytea	Tea Room		37.8708847	-122.2679985	2125 Shattuck Ave, Berkeley, CA  94704, United States
Kura Revolving Sushi Bar	Conveyor-Belt Sushi Restaurant		37.8720255	-122.2682295	2100 University Ave, Berkeley, CA  94704, United States
Ippudo	Ramen Restaurant	$$	37.8719528	-122.2674036	2015 Kala Bagai Way, Berkeley, CA  94704, United States
Chahalo	Tea Room		37.8721718	-122.269631	2041 University Ave, Berkeley, CA  94704, United States
U :Dessert Story	Dessert Shop	$$	37.8740567	-122.2684038	1849 Shattuck Ave, Berkeley, CA  94709, United States
Great China	Chinese Cuisine	$$$	37.8676588	-122.2661805	2190 Bancroft Way, Berkeley, CA  94704, United States
Li's Knife Cut Noodle	Chinese Cuisine		37.8702571	-122.2672082	2126 Center St, Berkeley, CA  94704, United States
Punjabi Dhaba	Indian Cuisine		37.8682973	-122.2580361	2521 Durant Ave, Berkeley, CA  94704, United States
Yume Mori Matcha	Coffee Shop		37.8673052	-122.2673439	2319 Shattuck Ave, Berkeley, CA  94704, United States
Noodle Dynasty	Chinese Cuisine	$$	37.8664668	-122.2588894	2426 Telegraph Ave, Berkeley, CA  94704, United States
Sheng Kee Bakery	Bakery	$	37.8684761	-122.2588313	2307 Telegraph Ave, Berkeley, CA  94704, United States
Yifang Taiwan Fruit Tea	Bubble Tea Shop	$$	37.8686412	-122.2586854	2516 Bancroft Way, Berkeley, CA  94704, United States
Yogurt Park	Ice Cream Shop	$	37.8679019	-122.2597897	2433 Durant Ave, Unit A, Berkeley, CA 94704, United States
Din Ding Dumpling House	Dumpling Restaurant	$$	37.589319	-122.022879	1779 Decoto Rd, Union City, CA 94597, United States
Rêve Bistro	Bistro	$$$$	37.8903794	-122.1180743	960 Moraga Rd, Unit F, Lafayette, CA 94549, United States
Tang Jip	Korean Cuisine		37.673613	-122.08382	22507 Main St, Hayward, CA  94541, United States
Don Blanc	Korean Cuisine	$$$	37.8321097	-122.2629162	4390 Telegraph Ave, Oakland, CA  94609, United States
Zareen's	Pakistani Cuisine		37.4267329	-122.1440971	365 S California Ave, Palo Alto, CA 94306, United States
Eos & Nyx	Mediterranean Cuisine		37.3331429	-121.8872917	201 S Second St, Ste 120, San Jose, CA 95113, United States
Tangjip Korean Restaurant	Korean Cuisine	$$	37.973521	-122.042251	1679 Willow Pass Rd, Concord, CA  94520, United States
Burdell	Soul Food Restaurant	$$$	37.8341409	-122.2628465	4640 Telegraph Ave, Oakland, CA  94609, United States
Mumu Hot Pot	Hot Pot Restaurant		37.83688	-122.292591	5699 Bay St, Emeryville, CA  94608, United States
June's Pizza	Pizza Restaurant	$$	37.8190565	-122.2886395	2408 Mandela Pkwy, Oakland, CA  94607, United States
Chengdu Memory Hotpot	Hot Pot Restaurant		37.4964953	-121.9357635	2090 Warm Springs Ct, Unit 100, Fremont, CA  94539, United States
Doughweime	Bakery	$$	37.5911107	-122.0694839	31858 Alvarado Blvd, Union City, CA  94587, United States
Holbox	Seafood Restaurant		34.0175147	-118.2784394	3655 S Grand Ave, Unit C9, Los Angeles, CA 90007, United States
